gender,age,edlev1,edlev2,empl,jobflex,income,jobsat,jobsec,orgsize,mng,skill_lit,skill_num,skill_ict,faet
1,4,2,0,0,3,3,1,0,2,1,1.66666666666667,1.66666666666667,2,0
1,4,3,1,0,3.25,2,5,1,1,0,3.33333333333333,3,3.71428571428571,0
0,4,2,0,0,2.75,3,4,0,2,0,2.83333333333333,2.33333333333333,2.71428571428571,0
0,4,3,1,0,5,1,5,1,4,1,3.5,3.5,3.42857142857143,1
0,4,2,0,0,3.75,1,5,0,2,1,2.66666666666667,2.83333333333333,1.85714285714286,0
0,4,3,1,0,5,2,5,0,5,0,4.58333333333333,5,4.42857142857143,0
1,4,3,1,0,3.25,2,4,0,2,1,3.91666666666667,3.83333333333333,4,1
0,4,3,1,0,2.25,4,3,0,1,0,2.25,2.33333333333333,1,0
0,4,2,0,0,4.75,4,4,0,2,1,1.66666666666667,1,2,0
0,4,3,1,0,3,3,2,1,5,0,3.33333333333333,1.66666666666667,2.85714285714286,1
1,4,2,0,0,3.5,1,5,1,5,1,3.58333333333333,3.66666666666667,3.85714285714286,0
0,4,3,1,0,2.5,1,2,1,3,1,2.83333333333333,2.33333333333333,3.28571428571429,0
1,4,3,1,0,5,1,4,0,1,1,3.5,3.66666666666667,3.71428571428571,0
1,4,3,1,1,4.5,4,5,1,1,0,3.08333333333333,1.66666666666667,2.85714285714286,0
0,4,3,1,0,5,1,5,0,2,1,4,4.66666666666667,4.28571428571429,0
1,4,3,1,0,2.75,1,5,0,5,0,3.33333333333333,3.16666666666667,3,0
1,4,2,0,0,2.25,2,5,1,2,1,3.33333333333333,2.16666666666667,1.57142857142857,0
1,4,3,1,0,2.25,1,5,1,4,1,3.58333333333333,2.66666666666667,3,0
0,4,3,1,0,3,3,4,1,2,0,3.16666666666667,1.83333333333333,2.71428571428571,0
0,4,2,0,0,4,3,5,1,2,1,3.41666666666667,2.83333333333333,3,1
0,4,2,0,0,4,3,5,0,3,1,2.58333333333333,2.33333333333333,3.28571428571429,0
0,4,2,0,0,3.25,5,4,1,2,1,4.16666666666667,4,3.85714285714286,0
0,4,2,0,0,3.25,4,3,0,3,0,1.91666666666667,2.33333333333333,1.14285714285714,0
0,4,3,1,0,4.25,1,4,1,5,0,2.75,1.16666666666667,2.71428571428571,0
1,4,3,1,0,4,2,5,0,4,0,3.91666666666667,3.16666666666667,4,0
0,4,2,0,0,4,3,5,1,3,0,2.83333333333333,1,3.28571428571429,0
0,4,3,1,0,2.25,2,5,1,5,0,3.66666666666667,3.66666666666667,3.57142857142857,0
1,4,3,1,0,3.5,1,4,0,3,0,3.25,4.5,3.71428571428571,0
0,4,2,0,0,3,2,4,1,5,1,4.08333333333333,3.33333333333333,4.42857142857143,0
0,4,3,1,0,2.5,1,4,1,1,0,2.58333333333333,2.5,4.28571428571429,0
1,4,2,0,0,3.25,3,4,0,2,1,2.58333333333333,2.16666666666667,1,0
0,4,2,0,0,2.5,4,4,1,4,0,1.91666666666667,1,1.57142857142857,0
0,4,3,1,1,3.75,2,5,1,5,0,2.58333333333333,3.5,2.71428571428571,0
0,4,2,0,0,3,3,3,1,3,1,4.58333333333333,4.5,4,0
0,4,1,0,0,1,4,3,0,3,0,1.16666666666667,1,1.28571428571429,0
1,4,3,1,0,4.75,2,5,0,3,0,3.58333333333333,3,2,0
1,4,2,0,0,4.5,1,5,1,1,1,3.5,3,3.71428571428571,0
0,4,3,1,0,2,3,4,0,1,1,3.58333333333333,3.83333333333333,3.42857142857143,0
0,4,3,1,0,3,2,4,1,2,1,3.41666666666667,3.16666666666667,3.57142857142857,0
1,4,2,0,0,1.75,2,3,0,4,0,1.5,1,1,0
